InstitutionCode,CollectionCode,CatalogNumber,IndividualCount,ScientificName,Family,PreparationType,Tissues,Latitude,Longitude,decimalLatitude,decimalLongitude,CoordinateUncertaintyInMeters,HorizontalDatum,Country,StateProvince,County,Island,IslandGroup,Locality,VerbatimElevation,VerbatimDepth,YearCollected,MonthCollected,DayCollected,Collector,GeorefMethod,LatLongComments,BasisOfRecord,Remarks,DateLastModified
CAS,ICH,49920,31,Percilia irwini,Perciliidae,alc-75% EtOH,,-36.8282270000,-73.0078270000,-36.8282270000,-73.0078270000,1601.00000000000000,,Chile,,,,,"Rio Nongen, Concepcion.",,,1919,3,20,"Eigenmann, Carl H.",,Polygon covers Estero Nonguen around Concepcion.,PreservedSpecimen,"Publ.: Mem. Nat. Acad. Sci., v.22, p.6.",2013-06-28 00:00:00.0
CAS,ICH,51274,1,Aplochiton marinus,Galaxiidae,alc-75% EtOH; radiograph,,-39.8313370000,-73.3405960000,-39.8313370000,-73.3405960000,3169.00000000000000,,Chile,,,,,Estero Cutipai; below Valdivia,,,1919,2,19,"Eigenmann, Carl H.",,"Polygon covers Estero Cutipay, below Valdivia.",PreservedSpecimen,"PUBL.: MEM. NATL. ACAD. SCI. 22 (2): 46, PL. 11.",2013-06-28 00:00:00.0
CAS,ICH,51275,6,Aplochiton marinus,Galaxiidae,alc-75% EtOH,,-39.8621290000,-73.3335940000,-39.8621290000,-73.3335940000,8856.00000000000000,,Chile,,,,,below Valdivia,,,1919,2,19,"Eigenmann, Carl H.",,Coordinates at mid-way point between Valdivia and the Pacific Ocean.,PreservedSpecimen,"PUBL.: MEM. NATL. ACAD. SCI. 22 (2): 46, PL. 11.",2013-06-28 00:00:00.0
CAS,ICH,51438,141,Brachygalaxias bullocki,Galaxiidae,alc-75% EtOH; C&S-glycerine,,-39.8313370000,-73.3405960000,-39.8313370000,-73.3405960000,3169.00000000000000,,Chile,Los Lagos,,,,Estero Cutipai below Valdivia.,,,1919,2,19,"Eigenmann, Carl H.",,"Polygon covers Estero Cutipay, below Valdivia.",PreservedSpecimen,Irwin Expedition,1997-10-31 00:00:00.0
CAS,ICH,55141,1,Aplochiton,Galaxiidae,alc-75% EtOH; radiograph,,-51.5277070000,-72.6468890000,-51.5277070000,-72.6468890000,3692.00000000000000,,Chile,,,,,"Laguna Sofia, Patagonian Chile",,,1968,2,10,"McDowall, R. M.",,,PreservedSpecimen,,2018-08-29 14:17:49.0
CAS,ICH,55423,1,Diplomystes nahuelbutaensis,Diplomystidae,alc-75% EtOH; radiograph,,-38.5316710000,-72.4304240000,-38.5316710000,-72.4304240000,1998.00000000000000,,Chile,Araucania Region,,,,Lautaro.,,,1919,2,13,"Eigenmann, Carl H.",,,PreservedSpecimen,"Publ.: Bonner Zool. Monogr., No.24: 33, figs.8,10-18.",2013-06-28 00:00:00.0
CAS,ICH,55424,6,Diplomystes nahuelbutaensis,Diplomystidae,alc-75% EtOH,,-38.5316710000,-72.4304240000,-38.5316710000,-72.4304240000,1998.00000000000000,,Chile,Araucania Region,,,,Lautaro.,,,1919,2,13,"Eigenmann, Carl H.",,,PreservedSpecimen,"Publ.: Bonner Zool. Monogr., No.24: 33, figs.8,10-18.",2013-06-28 00:00:00.0
CAS,ICH,55425,1,Diplomystes nahuelbutaensis,Diplomystidae,C&S-GLYCERINE,,-38.5316710000,-72.4304240000,-38.5316710000,-72.4304240000,1998.00000000000000,,Chile,Araucania Region,,,,Lautaro.,,,1919,2,13,"Eigenmann, Carl H.",,,PreservedSpecimen,"Publ.: Bonner Zool. Monogr., No.24: 33, figs.8,10-18.",2013-06-28 00:00:00.0
CAS,ICH,55426,1,Diplomystes nahuelbutaensis,Diplomystidae,alc-75% EtOH,,-35.5967580000,-71.7490290000,-35.5967580000,-71.7490290000,1690.00000000000000,,Chile,Maule,,,,"Rio Loncomilla, San Javier.",,,1919,3,23,"Eigenmann, Carl H.",,Polygon covers Rio Loncomilla around San Javier.,PreservedSpecimen,"Publ.: Bonner Zool. Monogr., No.24: 33, figs.8,10-18.",2013-06-28 00:00:00.0
CAS,ICH,55427,1,Diplomystes chilensis,Diplomystidae,alc-75% EtOH,,-33.4762430000,-70.6667100000,-33.4762430000,-70.6667100000,21647.00000000000000,,Chile,,,,,Santiago market.,,,,,,"Eigenmann, C. H.; Murdock",,"Coordinates at Santiago, error covers town.",PreservedSpecimen,"1 of 2 spec. given to Univ. Nac. de la Plata, Argentina, inv. 89-3722.",2016-08-16 15:02:51.0
