id,latitude,longitude,cntry_code,country,obs_date,t_kingdom,t_phylum,t_class,t_order,t_family,t_genus,t_species,database,inst,collection,provider,records,year,month
"4556165","-40.5667","-71.5333","AR","ARGENTINA"," ","Animalia","Chordata","Actinopterygii","Osmeriformes","Galaxiidae","Galaxias","Galaxias maculatus","SSTN","FO","Peces","Fundación Óga","1","",""
"4556136","-40.5167","-70.35","AR","ARGENTINA"," ","Animalia","Chordata","Actinopterygii","Osmeriformes","Galaxiidae","Galaxias","Galaxias maculatus","SSTN","FO","Peces","Fundación Óga","1","",""
"4556164","-40.4833","-71.3167","AR","ARGENTINA"," ","Animalia","Chordata","Actinopterygii","Osmeriformes","Galaxiidae","Galaxias","Galaxias maculatus","SSTN","FO","Peces","Fundación Óga","1","",""
"4556121","-40.4667","-71.5167","AR","ARGENTINA"," ","Animalia","Chordata","Actinopterygii","Osmeriformes","Galaxiidae","Galaxias","Galaxias maculatus","SSTN","FO","Peces","Fundación Óga","1","",""
"4556116","-40.3667","-71.3","AR","ARGENTINA"," ","Animalia","Chordata","Actinopterygii","Osmeriformes","Galaxiidae","Galaxias","Galaxias maculatus","SSTN","FO","Peces","Fundación Óga","1","",""
"4556304","-54.6667","-67.8333","AR","ARGENTINA"," ","Animalia","Chordata","Actinopterygii","Osmeriformes","Galaxiidae","Galaxias","Galaxias platei","SSTN","FO","Peces","Fundación Óga","1","",""
"4556303","-54.55","-67.8833","AR","ARGENTINA"," ","Animalia","Chordata","Actinopterygii","Osmeriformes","Galaxiidae","Galaxias","Galaxias platei","SSTN","FO","Peces","Fundación Óga","1","",""
"4556265","-54.4167","-67.75","AR","ARGENTINA"," ","Animalia","Chordata","Actinopterygii","Osmeriformes","Galaxiidae","Galaxias","Galaxias platei","SSTN","FO","Peces","Fundación Óga","1","",""
"4556264","-53.7667","-67.7833","AR","ARGENTINA"," ","Animalia","Chordata","Actinopterygii","Osmeriformes","Galaxiidae","Galaxias","Galaxias platei","SSTN","FO","Peces","Fundación Óga","1","",""
"4556302","-50.25","-72.4167","AR","ARGENTINA"," ","Animalia","Chordata","Actinopterygii","Osmeriformes","Galaxiidae","Galaxias","Galaxias platei","SSTN","FO","Peces","Fundación Óga","1","",""
"4556262","-50.2","-71.55","AR","ARGENTINA"," ","Animalia","Chordata","Actinopterygii","Osmeriformes","Galaxiidae","Galaxias","Galaxias platei","SSTN","FO","Peces","Fundación Óga","1","",""
"4556260","-48.5167","-71.7833","AR","ARGENTINA"," ","Animalia","Chordata","Actinopterygii","Osmeriformes","Galaxiidae","Galaxias","Galaxias platei","SSTN","FO","Peces","Fundación Óga","1","",""
"4556301","-47.9667","-72.0333","AR","ARGENTINA"," ","Animalia","Chordata","Actinopterygii","Osmeriformes","Galaxiidae","Galaxias","Galaxias platei","SSTN","FO","Peces","Fundación Óga","1","",""
"4556300","-47.9","-72.0333","AR","ARGENTINA"," ","Animalia","Chordata","Actinopterygii","Osmeriformes","Galaxiidae","Galaxias","Galaxias platei","SSTN","FO","Peces","Fundación Óga","1","",""
"4556299","-47.8167","-72.15","AR","ARGENTINA"," ","Animalia","Chordata","Actinopterygii","Osmeriformes","Galaxiidae","Galaxias","Galaxias platei","SSTN","FO","Peces","Fundación Óga","1","",""
"4556298","-47.8167","-72.0833","AR","ARGENTINA"," ","Animalia","Chordata","Actinopterygii","Osmeriformes","Galaxiidae","Galaxias","Galaxias platei","SSTN","FO","Peces","Fundación Óga","1","",""
"4556297","-47.7667","-72.2167","AR","ARGENTINA"," ","Animalia","Chordata","Actinopterygii","Osmeriformes","Galaxiidae","Galaxias","Galaxias platei","SSTN","FO","Peces","Fundación Óga","1","",""
"4556259","-47.35","-71.95","AR","ARGENTINA"," ","Animalia","Chordata","Actinopterygii","Osmeriformes","Galaxiidae","Galaxias","Galaxias platei","SSTN","FO","Peces","Fundación Óga","1","",""
