dataset.x,id_CC_old.x,match_id.x,fieldgood,fieldbad,logodd.ratio,precent.good,percent.bad,checked
agui,11581,10655,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
agui,11599,10671,10,1,0.740362689494244,76.9230769230769,7.69230769230769,
agui,11600,10672,10,1,0.740362689494244,76.9230769230769,7.69230769230769,
agui,11611,10683,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
agui,11618,10689,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
agui,11644,10715,10,1,0.740362689494244,76.9230769230769,7.69230769230769,
agui,11645,10716,10,1,0.740362689494244,76.9230769230769,7.69230769230769,
agui,11658,10724,10,1,0.740362689494244,76.9230769230769,7.69230769230769,
agui,11675,10735,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
agui,11676,10736,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
agui,11677,10737,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
agui,11694,10747,7,0,0.903089986991944,53.8461538461538,0,
agui,11707,10757,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
agui,11714,10765,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
agui,11715,10766,10,1,0.740362689494244,76.9230769230769,7.69230769230769,
agui,11722,10769,10,1,0.740362689494244,76.9230769230769,7.69230769230769,
subpesca-1,11725,10772,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
subpesca-1,11726,10773,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
agui,11733,10781,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
agui,11734,10782,7,0,0.903089986991944,53.8461538461538,0,
agui,11735,10783,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
agui,11736,10784,7,0,0.903089986991944,53.8461538461538,0,
agui,11737,10785,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
agui,11738,10786,7,0,0.903089986991944,53.8461538461538,0,
agui,11739,10787,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
agui,11740,10788,7,0,0.903089986991944,53.8461538461538,0,
agui,11749,10797,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
agui,11754,10802,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
agui,11765,10810,10,1,0.740362689494244,76.9230769230769,7.69230769230769,
agui,11766,10811,10,1,0.740362689494244,76.9230769230769,7.69230769230769,
agui,11778,10821,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
agui,11779,10822,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
agui,11963,10977,10,1,0.740362689494244,76.9230769230769,7.69230769230769,
