CM_row_id,prim_key,correccion,Remove_from_master,.locality,.decimalLatitude,.decimalLongitude,.year,.eventDate,.recordedBy,.individualCount,.bibliographicCitation,.canonicalName,.scientificName
230,inat | https://www.inaturalist.org/observations/151401307,Locality: Río Nant y Falt,,Río Nant y Falt,,,,,,,,,
231,agui | MAguilar.Lit.Review.47,coord  43.81021/71.4723,,,-43.81021,-71.4723,,,,,,,
232,agui | MAguilar.Lit.Review.97,coord  43.81021/71.4723,,,-43.81021,-71.4723,,,,,,,
233,agui | MAguilar.Lit.Review.96,coord  43.8188/71.46098,,,-43.8188,-71.46098,,,,,,,
234,agui | MAguilar.Lit.Review.581,coord  43.5337539/71.4677006,,,-43.5337539,-71.4677006,,,,,,,
235,agui | MAguilar.Lit.Review.428,Locality: Lago Lezama,,Lago Lezama,,,,,,,,,
236,agui | MAguilar.Lit.Review.658,coord  41.3801/71.4971,,,-41.3801,-71.4971,,,,,,,
237,agui | MAguilar.Lit.Review.584,"no podemos localizar el Rio Manguera, el pto cae en la tierra",,,-43.309809,-71.442311,,,,,,,
238,agui | MAguilar.Lit.Review.490,year: 2007; recordedBy: Barriga JP & Battini MA,,,,,2007,,Barriga JP & Battini MA,,,,
239,agui | MAguilar.Lit.Review.488,year: 2007; recordedBy: Barriga JP & Battini MA,,,,,2007,,Barriga JP & Battini MA,,,,
240,agui | MAguilar.Lit.Review.455,coord 44.2/71.60,,,-44.2,-71.6,,,,,,,
241,agui | MAguilar.Lit.Review.453,coord 44.294/71.49 Lago León,,Lago León,-44.294,-71.49,,,,,,,
242,agui | MAguilar.Lit.Review.579,"no podemos localizar el Rio Manguera, el pto cae en la tierra",,,-43.309809,-71.442311,,,,,,,
243,agui | MAguilar.Lit.Review.427,  42.448978/71.436157 Locality Río Blanco,,Río Blanco,-42.448978,-71.436157,,,,,,,
244,agui | MAguilar.Lit.Review.487,year: 2007; recordedBy: Barriga JP & Battini MA,,,,,2007,,Barriga JP & Battini MA,,,,
245,agui | MAguilar.Lit.Review.442,"LocalityRío Nant y Fall, punto cae en la tierra  43.2228333/71.4215",,Río Nant y Fall,-43.2228333,-71.4215,,,,,,,
246,agui | MAguilar.Lit.Review.613,42.2/71.5,,,-42.2,-71.5,,,,,,,
247,agui | MAguilar.Lit.Review.369,42.2/71.5,,,-42.2,-71.5,,,,,,,
248,agui | MAguilar.Lit.Review.667,coord  42.2057/71.4966,,,-42.2057,-71.4966,,,,,,,
249,agui | MAguilar.Lit.Review.867, Laguna Foyel coord 41.75065/71.446089,,Laguna Foyel,-41.75065,-71.446089,,,,,,,
250,agui | MAguilar.Lit.Review.459,"LocalityLago Engaño,  coord 43.86/71.518",,Lago Engaño,-43.86,-71.518,,,,,,,
251,agui | MAguilar.Lit.Review.1180,coord 42.816666/71.716666; year 2000,,,-42.816666,-71.716666,2000,,,,,,
252,agui | MAguilar.Lit.Review.426,Si es Lago Cisne coord es 42.6/71.9167 (id 11949); la coord de Cussacet al 2004 cae cerca del Rio Blanco,,Lago Cisne,-42.6,-71.9167,,,,,,,
253,agui | MAguilar.Lit.Review.16,coord  42.9/71.3979 (posible laguna Carao),,,-42.9,-71.3979,,,,,,,
254,agui | MAguilar.Lit.Review.75,coord  42.9/71.3979 (posible laguna Carao),,,-42.9,-71.3979,,,,,,,
255,agui | MAguilar.Lit.Review.457,coord 44.28/71.523,,,-44.28,-71.523,,,,,,,
256,agui | MAguilar.Lit.Review.449,coord 43.8188/71.46098,,,-43.8188,-71.46098,,,,,,,
257,agui | MAguilar.Lit.Review.835,coord  43.2619/71.3442,,,-43.2619,-71.3442,,,,,,,
258,agui | MAguilar.Lit.Review.438,coord correctas42.9833/71.5167,,,-42.9833,-71.5167,,,,,,,
259,agui | MAguilar.Lit.Review.50,LocalityLago Carlos Pellegrini; coord  42.4883/71.3931,,Lago Carlos Pellegrini,-42.4883,-71.3931,,,,,,,
260,gbif | KY001660,coord correcta: 43.2619/71.3442,,,-43.2619,-71.3442,,,,,,,
261,agui | MAguilar.Lit.Review.489,year: 2007; recordedBy: Barriga JP & Battini MA,,,,,2007,,Barriga JP & Battini MA,,,,
262,agui | MAguilar.Lit.Review.170,year 2009; recordedBy JP Barriga,,,,,2009,,Juan Pablo Barriga,,,,
263,gbif | KJ499176,coord correcta: 43.2619/71.3442,,,-43.2619,-71.3442,,,,,,,
264,agui | MAguilar.Lit.Review.35,coord 43.25859999/71.3463999,,,-43.25859999,-71.3463999,,,,,,,
265,agui | MAguilar.Lit.Review.43,coord corresta43.2667/71.3333,,,-43.2667,-71.3333,,,,,,,
266,agui | MAguilar.Lit.Review.277,coord  43.2619/71.3442,,,-43.2619,-71.3442,,,,,,,
267,agui | MAguilar.Lit.Review.1149,coord  43.2619/71.3442,,,-43.2619,-71.3442,,,,,,,
268,agui | MAguilar.Lit.Review.55,coord  43.2619/71.3442,,,-43.2619,-71.3442,,,,,,,
269,agui | MAguilar.Lit.Review.125,coord 43.25859999/71.3463999,,,-43.25859999,-71.3463999,,,,,,,
270,agui | MAguilar.Lit.Review.42,42.88889/71.34881,,,-42.88889,-71.34881,,,,,,,
271,agui | MAguilar.Lit.Review.136,coord  42.8882/71.34907,,,-42.8882,-71.34907,,,,,,,
272,agui | MAguilar.Lit.Review.68,coord 42.888/71.349,,,-42.888,-71.349,,,,,,,
273,agui | MAguilar.Lit.Review.51,"no pudimos encontrar a la Lagura Polco, pero el punto cae en cualquier lado",,,,,,,,,,,
274,gbif | FFPAT042-11,canonicalName: Hatcheria macraei; coord correcta 43.25917/71.33759,,,-43.25917,-71.33759,,,,,,Hatcheria macraei,"Hatcheria macraei (Girard, 1855)"
275,agui | MAguilar.Lit.Review.456,coord 44.1267/71.102,,,-44.1267,-71.102,,,,,,,
276,agui | MAguilar.Lit.Review.4,Laguna Foyel 41.7506/71.446,,Laguna Foyel,-41.7506,-71.446,,,,,,,
277,agui | MAguilar.Lit.Review.45,coord  41.75065/71.44597,,,-41.75065,-71.44597,,,,,,,
278,agui | MAguilar.Lit.Review.91, Laguna Foyel coord 41.75065/71.446089,,Laguna Foyel,-41.75065,-71.446089,,,,,,,
279,agui | MAguilar.Lit.Review.92, Laguna Foyel coord 41.75065/71.446089,,Laguna Foyel,-41.75065,-71.446089,,,,,,,
280,agui | MAguilar.Lit.Review.40,42.8846/71.26831,,,-42.8846,-71.26831,,,,,,,
281,agui | MAguilar.Lit.Review.134,coord  42.88462/71.26801,,,-42.88462,-71.26801,,,,,,,
282,gbif | d5c57e42-47fa-40b4-85f0-138e4786203a,no podemos decir nada,,,,,,,,,,,
283,agui | MAguilar.Lit.Review.436,coord  42.9833/71.5167 Laguna Terraplén,,Laguna Terraplén,-42.9833,-71.5167,,,,,,,
284,agui | MAguilar.Lit.Review.14,"Localitylago Bagillt, coord 43.27/71.68",,Lago Bagillt,-43.27,-71.68,,,,,,,
285,agui | MAguilar.Lit.Review.73,"Localitylago Bagillt, coord 43.27/71.68",,Lago Bagillt,-43.27,-71.68,,,,,,,
286,agui | MAguilar.Lit.Review.460,"punto en la tierra hay que marcar una coordenada sobre el rio, no sabemos en que parte del rio fue",,,,,,,,,,,
287,agui | MAguilar.Lit.Review.947,"coord 44.1267/71.102; year:2000 y 2002, el dato corresponde a Ferriz 2003",,,-44.1267,-71.102,2000,,,,,,
288,agui | MAguilar.Lit.Review.923,"coord 44.1267/71.102; year:2000 y 2002, el dato corresponde a Ferriz 2003",,,-44.1267,-71.102,2000,,,,,,
289,agui | MAguilar.Lit.Review.37,coord 44.1267/71.102,,,-44.1267,-71.102,,,,,,,
290,agui | MAguilar.Lit.Review.130,coord correcto:44.12187/71.10211,,,-44.12187,-71.10211,,,,,,,
291,agui | MAguilar.Lit.Review.478,"esste punto es del lado Chileno, dato sacado de un Soto 2001 (ver en Cussac et al 2004)",,,,,,,,,,,
292,inat | https://www.inaturalist.org/observations/187833010,no tenemos como comprobar,,,,,,,,,,,
293,inat | https://www.inaturalist.org/observations/187833057,Locality: Rio Lapataia,,Rio Lapataia,,,,,,,,,
294,inat | https://www.inaturalist.org/observations/250216624,no tenemos como comprobar,,,,,,,,,,,
295,inat | https://www.inaturalist.org/observations/142030334,no tenemos como comprobar,,,,,,,,,,,
296,inat | https://www.inaturalist.org/observations/63008495,no tenemos como comprobar pero parece Rio Lapataia,,Rio Lapataia,,,,,,,,,
297,agui | MAguilar.Lit.Review.393,"esta mal la coord, podria ser 54.798921/68.231359",,,-54.798921,-68.231359,,,,,,,
298,agui | MAguilar.Lit.Review.866,capturado en marzo de 1984 por pescador artesanal,,,,,1984,,,,,,
299,inat | https://www.inaturalist.org/observations/109099669,no tenemos como comprobar,,,,,,,,,,,
300,inat | https://www.inaturalist.org/observations/193814654,no tenemos como comprobar,,,,,,,,,,,
301,,no podemos decir nada,,,,,,,,,,,
302,inat | https://www.inaturalist.org/observations/142026939,locality: desembocadura Rio Olivia,,desembocadura Rio Olivia,,,,,,,,,
303,inat | https://www.inaturalist.org/observations/187904953,Locality: río Olivia,,río Olivia,,,,,,,,,
304,inat | https://www.inaturalist.org/observations/147055006,Parece Río Olivia,,Rio Olivia,,,,,,,,,
305,inat | https://www.inaturalist.org/observations/107069166,Locality: Río Lasifashaj,,Río Lasifashaj,,,,,,,,,
306,,coord correctade Bahia Thetis: 54.644722/65.25083333,,Bahia Thetis,-54.644722,-65.25083333,,,,,,,
307,agui | MAguilar.Lit.Review.953, 54.62817/67.99046; year 2001; recordedBy D. Milano; individualCount2,,,-54.62817,-67.99046,2001,,Daniela Milano,2,,,
308,agui | MAguilar.Lit.Review.1428, 54.62817/67.99046,,,-54.62817,-67.99046,,,,,,,
309,agui | MAguilar.Lit.Review.28, 54.62817/67.99046,,,-54.62817,-67.99046,,,,,,,
310,agui | MAguilar.Lit.Review.954,coord  54.6431/67.7928; year2001; recordedBy D. Milano; individualCount10,,,-54.6431,-67.7928,2001,,Daniela Milano,10,,,
311,agui | MAguilar.Lit.Review.20,coord  54.6431/67.7928,,,-54.6431,-67.7928,,,,,,,
312,agui | MAguilar.Lit.Review.85,coord  54.63333/67.8; Year 2001,,,-54.63333,-67.8,2001,,,,,,
