"This database is one of the products of the following grants: Carlos García de Leániz (PI), Gonzalo Gajardo, et al. Department for Environment Food and Rural Affairs (DEFRA, UK). Darwin Initiative Grants 15020 (2006-2009) and EIDPO041 (2010-2012).",,,,,,,,,,,,,
Watershed,Location,Station,Latitude,Longitude,Date,Day,Month,Year,Species,Collected by,n.genotyped,n.not.genotyped,n.individuals
Río Bueno,Río Futangue,RFU16,-40.33177778,-72.26638889,39902,30,3,2009,Aplochiton zebra,"José del Carmen Sanzana, Delphine Vanhaecke, Ana María Cerda",30,65,95
Río Bueno,Río Futangue,RFU16,-40.33177778,-72.26638889,39902,30,3,2009,Galaxias platei,"José del Carmen Sanzana, Delphine Vanhaecke, Ana María Cerda",,1,1
Río Bueno,Río Futangue,RFU16,-40.33177778,-72.26638889,39902,30,3,2009,Oncorhynchus mykiss,"José del Carmen Sanzana, Delphine Vanhaecke, Ana María Cerda",,9,9
Río Bueno,Río Futangue,RFU16,-40.33177778,-72.26638889,39902,30,3,2009,Percichthys trucha,"José del Carmen Sanzana, Delphine Vanhaecke, Ana María Cerda",,1,1
Río Bueno,Río Futangue,RFU16,-40.33177778,-72.26638889,39927,24,4,2009,Aplochiton zebra,"José del Carmen Sanzana, Delphine Vanhaecke, Ana María Cerda, Gabriel Orellana",,96,96
Río Bueno,Río Futangue,RFU16,-40.33177778,-72.26638889,39927,24,4,2009,Galaxias platei,"José del Carmen Sanzana, Delphine Vanhaecke, Ana María Cerda, Gabriel Orellana",,1,1
Río Bueno,Río Futangue,RFU16,-40.33177778,-72.26638889,39927,24,4,2009,Oncorhynchus kisutch,"José del Carmen Sanzana, Delphine Vanhaecke, Ana María Cerda, Gabriel Orellana",,2,2
Río Bueno,Río Futangue,RFU16,-40.33177778,-72.26638889,39927,24,4,2009,Oncorhynchus mykiss,"José del Carmen Sanzana, Delphine Vanhaecke, Ana María Cerda, Gabriel Orellana",,24,24
Río Bueno,Río Futangue,RFU16,-40.33177778,-72.26638889,39928,25,4,2009,Aplochiton zebra,"José del Carmen Sanzana, Delphine Vanhaecke, Ana María Cerda, Gabriel Orellana",,115,115
Río Bueno,Río Futangue,RFU16,-40.33177778,-72.26638889,39928,25,4,2009,Brachygalaxias bullocki,"José del Carmen Sanzana, Delphine Vanhaecke, Ana María Cerda, Gabriel Orellana",,1,1
Río Bueno,Río Futangue,RFU16,-40.33177778,-72.26638889,39928,25,4,2009,Galaxias platei,"José del Carmen Sanzana, Delphine Vanhaecke, Ana María Cerda, Gabriel Orellana",,1,1
Río Bueno,Río Futangue,RFU16,-40.33177778,-72.26638889,39928,25,4,2009,Oncorhynchus kisutch,"José del Carmen Sanzana, Delphine Vanhaecke, Ana María Cerda, Gabriel Orellana",,1,1
Río Bueno,Río Futangue,RFU16,-40.33177778,-72.26638889,39928,25,4,2009,Oncorhynchus mykiss,"José del Carmen Sanzana, Delphine Vanhaecke, Ana María Cerda, Gabriel Orellana",,13,13
Río Bueno,Río Futangue,RFU16,-40.33177778,-72.26638889,39928,25,4,2009,Salmo trutta,"José del Carmen Sanzana, Delphine Vanhaecke, Ana María Cerda, Gabriel Orellana",,2,2
Río Bueno,Río Gol-Gol,RGG,-40.66160556,-72.2518,39205,3,5,2007,Oncorhynchus mykiss,,,12,12
Río Bueno,Río Iculpe,RIC17,-40.31461111,-72.43908333,39903,31,3,2009,Aplochiton zebra,"José del Carmen Sanzana, Delphine Vanhaecke, Ana María Cerda, Gabriel Orellana",30,27,57
Río Bueno,Río Iculpe,RIC17,-40.31461111,-72.43908333,39903,31,3,2009,Galaxias platei,"José del Carmen Sanzana, Delphine Vanhaecke, Ana María Cerda, Gabriel Orellana",,11,11
Río Bueno,Río Iculpe,RIC17,-40.31461111,-72.43908333,39903,31,3,2009,Oncorhynchus mykiss,"José del Carmen Sanzana, Delphine Vanhaecke, Ana María Cerda, Gabriel Orellana",,18,18
Río Bueno,Río Iculpe,RIC17,-40.31461111,-72.43908333,39903,31,3,2009,Oncorhynchus tshawytscha,"José del Carmen Sanzana, Delphine Vanhaecke, Ana María Cerda, Gabriel Orellana",,1,1
Río Bueno,Río Iculpe,RIC17,-40.31461111,-72.43908333,39903,31,3,2009,Percichthys trucha,"José del Carmen Sanzana, Delphine Vanhaecke, Ana María Cerda, Gabriel Orellana",,1,1
Río Bueno,Río Iculpe,RIC17,-40.31461111,-72.43908333,39903,31,3,2009,Salmo trutta,"José del Carmen Sanzana, Delphine Vanhaecke, Ana María Cerda, Gabriel Orellana",,11,11
Río Bueno,Río Iculpe,RIC17,-40.31461111,-72.43908333,39903,31,3,2009,Trichomycterus areolatus,"José del Carmen Sanzana, Delphine Vanhaecke, Ana María Cerda, Gabriel Orellana",,2,2
Río Bueno,Río Iculpe - Arriba,RIC17A,-40.36533333,-72.35591667,39903,31,3,2009,Oncorhynchus mykiss,"José del Carmen Sanzana, Delphine Vanhaecke, Ana María Cerda, Gabriel Orellana",,27,27
Río Bueno,Río Licán,RICAN,-40.62761111,-72.41041667,39855,11,2,2009,Oncorhynchus mykiss,"José del Carmen Sanzana, Ana María Cerda, Gabriel Orellana",,28,28
Río Bueno,Río Licán,RICAN,-40.62761111,-72.41041667,39855,11,2,2009,Oncorhynchus tshawytscha,"José del Carmen Sanzana, Ana María Cerda, Gabriel Orellana",,3,3
Río Bueno,Río Licán,RICAN,-40.62761111,-72.41041667,39855,11,2,2009,Salmo trutta,"José del Carmen Sanzana, Ana María Cerda, Gabriel Orellana",,33,33
Río Bueno,Río Nilahue,RN,-40.26818611,-72.20340833,09/03/85,9,3,1985,Oncorhynchus mykiss,Angler,,1,1
Río Bueno,Río Nilahue,RN,-40.26818611,-72.20340833,12/02/90,12,2,1990,Oncorhynchus mykiss,Angler,,1,1
Río Bueno,Río Pilmaiquén,RP,-40.38472778,-73.00347778,39455,8,1,2008,Oncorhynchus mykiss,,,8,8
Río Bueno,Río Pilmaiquén,RP,-40.38472778,-73.00347778,39455,8,1,2008,Salmo trutta,,,3,3
Río Bueno,Río Pitreño,RPI15,-40.32677778,-72.31955556,39898,26,3,2009,Aplochiton zebra,"José del Carmen Sanzana, Delphine Vanhaecke, Ana María Cerda, Gabriel Orellana",31,36,67
Río Bueno,Río Pitreño,RPI15,-40.32677778,-72.31955556,39898,26,3,2009,Basilichthys australis,"José del Carmen Sanzana, Delphine Vanhaecke, Ana María Cerda, Gabriel Orellana",,30,30
