Ref_ID,Origin of data,Type of document,Author,Year,Title,Journal or Editorial,Vol  Pag,To be reviewed,OLD REF_ID,Notes
44,,Thesis,Capella J.,1992,"Nicho trófico de Basilichtys australis (Eigenmann) (Atherinidae) en precencia de Oncorhynchus mykiss (Walbaum) (Salmonidae). Un experimento de campo en peñaflor, Chile.","Tesis de Magister, Universidad de Chile (Santiago)",77pp.,,185,
45,,EIA,Celulosa Arauco y Constitución S.A.,1997,Estudio de Impacto Ambiental (EIA) proyecto Valdivia.,CONAMA/CEDOC,CD23,,191,
46,,Paper,"Habit, E., P. Victoriano, O. Parra",2002,Translocación de peces nativos en la cuenca del río Laja.,Gayana,66(2): 181-190.,,194,
47,,Paper,"Habit, Evelyn",1998,"Análisis de la dieta de Percilia gillissi (Pisces: percilidae) en poblaciones de río y canales de riego (cuenca de Itata, VIII región).",Theoria,7: 66-46.,,196,
48,,Paper,"Ruiz, Victor H.",1993,"Ictiofauna del río Andalién (Concepción, Chile).",Gayana Zoológica (Chile),57: 109-278.,,197,
49,,Paper,"Duarte W., R. Feito, C. Jara, C. Moreno y  AE Orellana",1971,Ictiofauna del sistema hidrográfico del río Maipo.,Bol. Mus. Nac. Hist. Nat. Chile,32: 227-268,,198,
50,,EIA,Centro de Ecología Aplicada Ltda.,2001,"Estudio de Impacto Ambiental (EIA) proyecto ALUMYSA. Anexo IV.A_1 Caracterización del habitat acuático del Rio Cuervo, Puerto Aysen.",CONAMA,,Ungroup natives,203,
51,,EIA,E.C. Rowe & Asoc.,1994,Estudio de Impacto Ambiental (EIA) proyecto Fachinal tranque de relave.,CONAMA,,,205,
52,,EIA,Gasoducto Gasandes S.A.,1996,"Estudio de Impacto Ambiental (EIA) Proyecto Gasoducto Gasandes, extensión a quinta región.",CONAMA,,,231,
53,,Paper,"Torres, P. Cubillos, V., Aedo, E., Silva, R., Garrido, O. y Aedo, J.E.",1995,"Prevalencia y aspectos patológicos de la difilobotriasis en salmones de retorno, Oncorhynchus kisutch, de Coyhaique, XIa Región de Chile.",Archivos de Medicina Veterinaria,27: 107-114.,,328,
54,,Paper,"Torres, P., E.  Aedo, L. Figueroa, I. Siegmund, R. Silva, N. Navarrete, S. Puga, F. Marín y E. Aedo",2000,"Infección por helmintos parásitos en salmón coho, Oncorhynchus kisutch, durante su retorno al río Simpson, Chile.",Bol. Chil. Parasitol.,55(1-2): 31-35.,,329,
55,,Paper,"Colihueque, N., N. Vergara and M. Parraguez",2003,Genetic characterization of naturalized populations of brown trout Salmo trutta L. in southern Chile using allozyme and microsatellite markers.,Aquaculture Research,34: 525-533.,,331,
56,,Paper,"Vila, I., E. Zeiss and H. Gibson",1978,"Prospecciones de sistemas hidrográficos para la introducción del ""salmon"" en Chile.","Biología Pesquera, Chile",10: 61-73.,,336,
